GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
stockmanagement-eventstore,com.example.stock.management.model.dto,EventStoreDto,226,0,40,0,6,0,35,0,15,0
stockmanagement-eventstore,com.example.stock.management.controller,StockController,201,0,12,0,42,0,17,0,11,0
stockmanagement-eventstore,com.example.stock.management,StockmanagementEventstoreApplication,8,0,0,0,3,0,2,0,2,0
stockmanagement-eventstore,com.example.stock.management.service,EventService,441,0,10,0,99,0,20,0,15,0
stockmanagement-eventstore,com.example.stock.management.event,PersonAddEvent,85,0,14,0,5,0,16,0,9,0
stockmanagement-eventstore,com.example.stock.management.event,PersonUpdateEvent.PersonUpdateEventBuilder,18,0,0,0,1,0,4,0,4,0
stockmanagement-eventstore,com.example.stock.management.event,PersonRemoveEvent.PersonRemoveEventBuilder,18,0,0,0,1,0,4,0,4,0
stockmanagement-eventstore,com.example.stock.management.event,StockAddedEvent.StockAddedEventBuilder,18,0,0,0,1,0,4,0,4,0
stockmanagement-eventstore,com.example.stock.management.event,StockRemovedEvent,82,0,14,0,3,0,15,0,8,0
stockmanagement-eventstore,com.example.stock.management.event,PersonRemoveEvent,85,0,14,0,5,0,16,0,9,0
stockmanagement-eventstore,com.example.stock.management.event,StockRemovedEvent.StockRemovedEventBuilder,18,0,0,0,1,0,4,0,4,0
stockmanagement-eventstore,com.example.stock.management.event,PersonUpdateEvent,85,0,14,0,5,0,16,0,9,0
stockmanagement-eventstore,com.example.stock.management.event,StockAddedEvent,82,0,14,0,3,0,15,0,8,0
stockmanagement-eventstore,com.example.stock.management.event,PersonAddEvent.PersonAddEventBuilder,18,0,0,0,1,0,4,0,4,0
stockmanagement-eventstore,com.example.stock.management.model,Person,279,0,48,0,9,0,42,0,18,0
stockmanagement-eventstore,com.example.stock.management.model,Stock,138,0,24,0,4,0,23,0,11,0
stockmanagement-eventstore,com.example.stock.management.model,EventStore,226,0,40,0,6,0,35,0,15,0
